prodcode,productname,gemscriptcode
56355,Citalopram 10mg tablets (Waymade Healthcare Plc),47301020
56457,Venlafaxine 75mg tablets (Teva UK Ltd),76076020
56501,Tofranil 25mg tablets (Lexon (UK) Ltd),03734020
56662,Venlafaxine 37.5mg tablets (A A H Pharmaceuticals Ltd),76115020
56703,Lofepramine 70mg tablets (Sandoz Ltd),60806020
5710,Efexor XL 150mg capsules (Pfizer Ltd),85164020
57107,Amitriptyline 10mg tablets (Phoenix Healthcare Distribution Ltd),03673020
57226,Trazodone 25mg/5ml oral suspension,34744020
57532,Prozac 20mg capsules (Waymade Healthcare Plc),03831020
57751,Tonpular XL 150mg capsules (Wockhardt UK Ltd),98350020
57926,Dosulepin 75mg/5ml oral solution,19721020
57936,Citalopram 40mg/ml oral drops sugar free (A A H Pharmaceuticals Ltd),76354020
57972,Amitriptyline 10mg tablets (Alliance Healthcare (Distribution) Ltd),03671020
57978,Trimipramine 25mg tablets (Waymade Healthcare Plc),47285020
58291,Mirtazapine 15mg orodispersible tablets (Pfizer Ltd),09888020
5832,Manerix 300mg tablets (Meda Pharmaceuticals Ltd),71995020
58476,Citalopram 20mg tablets (Aurobindo Pharma Ltd),04002020
58625,Mirtazapine 45mg tablets (Actavis UK Ltd),76428020
58664,Sertraline 50mg tablets (Mylan Ltd),72232020
58723,Sertraline 50mg tablets (Accord Healthcare Ltd),39811020
58837,Venlafaxine 37.5mg modified-release capsules,20695021
59035,Venlablue XL 37.5mg capsules (Bluefish Pharmaceuticals AB),20696021
59161,Amitriptyline 10mg tablets (Waymade Healthcare Plc),47269020
59193,Citalopram 10mg tablets (Ranbaxy (UK) Ltd),69079020
59288,Paroxetine 10mg tablets (Actavis UK Ltd),45504020
59358,Fluoxetine 20mg capsules (Milpharm Ltd),03843020
595,Amitriptyline 25mg / Perphenazine 2mg tablets,68729020
59563,Venlafaxine 75mg modified-release capsules (Kent Pharmaceuticals Ltd),03963020
59593,Fluanxol 500microgram tablets (Lexon (UK) Ltd),03813020
59600,Sertraline 100mg tablets (Almus Pharmaceuticals Ltd),75616020
59650,Citalopram 10mg tablets (Aurobindo Pharma Ltd),04014020
59694,Mirtazapine 30mg orodispersible tablets (Phoenix Healthcare Distribution Ltd),09903020
59820,Amitriptyline 50mg/5ml oral solution sugar free (Wockhardt UK Ltd),77899020
59923,Venlafaxine 37.5mg tablets (Bristol Laboratories Ltd),43833020
59931,Trazodone 50mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd),78020020
59953,Mirtazapine 15mg tablets (Almus Pharmaceuticals Ltd),09878020
59954,Mirtazapine 45mg tablets (Almus Pharmaceuticals Ltd),09912020
60138,Fluoxetine 20mg orodispersible tablets sugar free,23601021
603,Escitalopram 10mg tablets,78768020
60355,Amitriptyline 25mg tablets (Phoenix Healthcare Distribution Ltd),03678020
60370,Zispin SolTab 15mg orodispersible tablets (Mawdsley-Brooks & Company Ltd),09889020
60410,Amitriptyline 25mg/5ml oral solution sugar free (Wockhardt UK Ltd),77894020
60449,Venlafaxine 75mg tablets (A A H Pharmaceuticals Ltd),76118020
60534,Fluoxetine 20mg dispersible tablets sugar free,24094021
60538,Mirtazapine 30mg tablets (DE Pharmaceuticals),23710021
6054,Dosulepin 25mg/5ml oral solution sugar free,62835020
60549,Venlafaxine 150mg modified-release capsules (Kent Pharmaceuticals Ltd),03975020
60568,Citalopram 20mg tablets (Waymade Healthcare Plc),47300020
60591,Lofepramine 70mg tablets (Teva UK Ltd),75291020
60619,Fluoxetine 20mg/5ml oral solution (Kent Pharmaceuticals Ltd),03844020
60839,Citalopram 40mg tablets (Almus Pharmaceuticals Ltd),71379020
60888,Citalopram 10mg tablets (Sigma Pharmaceuticals Plc),04010020
60895,Venlafaxine 37.5mg tablets (Teva UK Ltd),76073020
60962,Fluoxetine 20mg capsules (Alliance Healthcare (Distribution) Ltd),03830020
61335,Prozac 20mg capsules (Mawdsley-Brooks & Company Ltd),03838020
61503,Sertraline 100mg tablets (Actavis UK Ltd),72038020
61547,Mirtazapine 15mg/ml oral solution sugar free (DE Pharmaceuticals),24001021
61657,Trazodone 75mg/5ml oral solution,34750020
61835,Amitriptyline 10mg tablets (DE Pharmaceuticals),16423021
61842,Trazodone 50mg/5ml oral solution,34746020
61856,Mirtazapine 15mg orodispersible tablets (Consilient Health Ltd),09884020
62155,Fluoxetine 20mg capsules (Phoenix Healthcare Distribution Ltd),03839020
6218,Escitalopram 20mg tablets,53823020
623,Efexor 37.5mg tablets (Wyeth Pharmaceuticals),48376020
6255,Mianserin 30mg tablets,64731020
62620,Clomipramine 10mg capsules (Mylan Ltd),60329020
62681,Dosulepin 75mg tablets (Sandoz Ltd),66768020
62688,Duloxetine 30mg gastro-resistant capsules (Sigma Pharmaceuticals Plc),10980020
62692,Sertraline 100mg tablets (Bristol Laboratories Ltd),03894020
62693,Sertraline 50mg tablets (Bristol Laboratories Ltd),03875020
62734,Venlafaxine 150mg/5ml oral suspension,35023020
6274,Efexor 50mg tablets (Wyeth Pharmaceuticals),48378020
62819,Sertraline 12.5mg/5ml oral suspension,33810020
62927,Sertraline 50mg tablets (Wockhardt UK Ltd),72107020
62950,Sertraline 100mg tablets (Accord Healthcare Ltd),39812020
6312,Amitriptyline 25mg/5ml oral solution sugar free,75330020
63268,Venlafaxine 75mg/5ml oral suspension,35361020
63276,Nortriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd),03761020
63370,Duloxetine 30mg gastro-resistant capsules (Mawdsley-Brooks & Company Ltd),10981020
63403,Mirtazapine 30mg tablets (Teva UK Ltd),69054020
63441,Citalopram 10mg tablets (Rivopharm (UK) Ltd),44246021
63481,Sertraline 50mg tablets (Aurobindo Pharma Ltd),03878020
6360,Cipralex 20mg tablets (Lundbeck Ltd),55602020
63763,Duloxetine 60mg gastro-resistant capsules (A A H Pharmaceuticals Ltd),48890021
63859,Venlafaxine 75mg tablets (Waymade Healthcare Plc),47297020
63916,Escitalopram 10mg tablets (Actavis UK Ltd),26791021
63953,Cipramil 20mg tablets (DE Pharmaceuticals),03994020
6405,Escitalopram 5mg tablets,87524020
64101,Mirtazapine 15mg orodispersible tablets (Actavis UK Ltd),74662020
64139,Mirtazapine 45mg orodispersible tablets (Mylan Ltd),77228020
64141,Amitriptyline 5mg/5ml oral solution,18973020
6421,Mirtazapine 15mg orodispersible tablets,87476020
64223,Mirtazapine 45mg tablets (Teva UK Ltd),75313020
64330,Amitriptyline 50mg tablets (Almus Pharmaceuticals Ltd),70951020
6442,Trazodone 50mg/5ml oral solution sugar free,67156020
64423,Citalopram 10mg tablets (Accord Healthcare Ltd),04013020
64442,Duloxetine 60mg gastro-resistant capsules (Teva UK Ltd),52348021
64458,Clomipramine 25mg/5ml oral suspension,19449020
64647,Amitriptyline 25mg tablets (DE Pharmaceuticals),16424021
64785,Paroxetine 30mg tablets (Alliance Healthcare (Distribution) Ltd),03913020
648,Cipralex 10mg tablets (Lundbeck Ltd),86222020
6481,Mirtazapine 45mg orodispersible tablets,87478020
6488,Mirtazapine 30mg orodispersible tablets,86969020
65152,Trazodone 100mg/5ml oral solution,34726020
65213,Trimipramine 50mg/5ml oral solution,34986020
65237,Nortriptyline 10mg tablets (A A H Pharmaceuticals Ltd),77775020
65439,Amitriptyline 25mg tablets (Sandoz Ltd),68492020
65445,Trimipramine 50mg capsules (A A H Pharmaceuticals Ltd),71739020
65555,Mirtazapine 15mg orodispersible tablets (Sigma Pharmaceuticals Plc),09886020
65618,Duloxetine 30mg gastro-resistant capsules (A A H Pharmaceuticals Ltd),48892021
65666,Venlafaxine 225mg modified-release capsules,60861021
65738,Efexor 37.5mg tablets (Sigma Pharmaceuticals Plc),03939020
65762,Clomipramine 25mg capsules (Waymade Healthcare Plc),47275020
65771,Sertraline 200mg/5ml oral suspension (Special Order),52635021
65804,Clomipramine 50mg capsules (Teva UK Ltd),54671020
65809,Duloxetine 30mg gastro-resistant capsules (Actavis UK Ltd),48893021
65879,Amitriptyline 10mg tablets (Sigma Pharmaceuticals Plc),52215021
65888,Duloxetine 60mg gastro-resistant capsules (Actavis UK Ltd),48889021
65892,Duloxetine 60mg gastro-resistant capsules (Mawdsley-Brooks & Company Ltd),53770021
65899,Efexor XL 225mg capsules (Pfizer Ltd),60862021
65987,Amitriptyline 25mg tablets (Crescent Pharma Ltd),48019021
67,Citalopram 20mg tablets,79462020
6795,Mirtazapine 15mg tablets,88879020
6846,Zispin SolTab 15mg orodispersible tablets (Merck Sharp & Dohme Ltd),87480020
6854,Mirtazapine 45mg tablets,88881020
6894,Perphenazine 2mg with Amitriptyline 25mg tablet,65593020
6895,Duloxetine 60mg gastro-resistant capsules,88847020
7059,Doxepin 75mg capsules,62857020
7122,Duloxetine 30mg gastro-resistant capsules,88845020
727,Sertraline 100mg tablets,74051020
7328,Sertraline 50mg/5ml oral suspension,90497020
74,Dosulepin 75mg tablets,62834020
742,Mirtazapine 30mg tablets,85247020
7468,Bolvidon 10mg Tablet (Organon Laboratories Ltd),48430020
7515,Anafranil 10mg capsules (Novartis Pharmaceuticals UK Ltd),55386020
7573,IMIPRAMINE 25 MG CAP,04844007
7677,Allegron 10mg tablets (King Pharmaceuticals Ltd),55355020
7678,Nortriptyline 25mg Capsule,65158020
7693,Anafranil 50mg capsules (Novartis Pharmaceuticals UK Ltd),55388020
7751,Tryptizol 25mg Tablet (Merck Sharp & Dohme Ltd),55441020
7780,Nortriptyline 10mg / Fluphenazine 500microgram tablets,68989020
7784,IMIPRAMINE 50 MG TAB,04843007
785,Cipralex 5mg tablets (Lundbeck Ltd),87526020
7894,Anafranil SR 75mg tablets (Novartis Pharmaceuticals UK Ltd),55396020
7910,Tofranil 25mg tablets (Novartis Pharmaceuticals UK Ltd),55403020
8055,Imipramine 25mg/5ml oral solution,63537020
8144,Bolvidon 20mg Tablet (Organon Laboratories Ltd),48431020
815,Cipramil 40mg/ml drops (Lundbeck Ltd),77312020
8174,Molipaxin 50mg/5ml oral liquid (Sanofi),54779020
83,Amitriptyline 10mg tablets,58949020
8332,Tryptizol 50mg Tablet (Merck Sharp & Dohme Ltd),55442020
84,Dosulepin 25mg capsules,62833020
841,Seroxat 20mg tablets (GlaxoSmithKline UK Ltd),72937020
8585,Bolvidon 30mg Tablet (Organon Laboratories Ltd),48432020
8640,Allegron 25mg tablets (King Pharmaceuticals Ltd),55356020
8661,Clomipramine 75mg modified-release tablets,61473020
8719,Anafranil 25mg/5ml syrup (Novartis Pharmaceuticals UK Ltd),55392020
8720,Clomipramine 25mg/5ml oral solution,61469020
8726,Tryptizol 10mg Tablet (Merck Sharp & Dohme Ltd),55440020
8831,Tryptizol mr 75mg Modified-release capsule (Merck Sharp & Dohme Ltd),55446020
8844,Tryptophan with ascorbic acid and pyridoxine powder,67314020
8845,OPTIMAX 6 GM POW,05487007
8878,Tryptizol 10mg/5ml sugar free Oral solution (Merck Sharp and Dohme Ltd),55450020
8928,Surmontil 10mg tablets (Sanofi),55416020
9182,Efexor 75mg tablets (Wyeth Pharmaceuticals),48377020
9206,Manerix 150mg tablets (Meda Pharmaceuticals Ltd),71994020
